Date,Radial Distance from Sun,Electronic Box Temperature,SWA temperature,OBS Temperature,IBS Temperature,OBS minus IBS Temp.,dutycycle,Search Coil Magnetometer's Temperature,Solar Array's Angle,HGA azimuth,HGA elevation,2.5V-ELB,3.3V-ELB,1.5V-ELB
2023-01-18,0.9494325843070235,1.72240786460172,-7.38985570065853,-86.322201800411,-73.712768985464,-12.609432814946999,53.333333333333336,-112.85372922412117,-0.0181490043488282,99.36574264687025,-82.78552633203103,2.510755106994576,3.2655229992502566,1.503052503051
2023-01-19,0.9480806077276318,-2.533882831831785,-7.03662043686768,-53.56494722061675,-42.8090736351249,-10.755873585491848,20.694444444444446,-112.65994749661851,-0.0181490043488282,99.35865303193668,-82.9493642432418,2.5052928810503285,3.2607478159514587,1.5030601657376192
2023-01-20,0.9465549191049621,2.7452063466744,-7.496386970690709,-53.56494722061675,-42.8825642306334,-10.682382989983353,20.72222222222222,-111.6143813248158,-0.0181490043488282,99.32900711186326,-83.1104641554648,2.5127254164701482,3.2663436381258237,1.5030525030509996
2023-01-21,0.9448552095721342,3.49685083556023,-7.518814606486956,-53.3549740905925,-42.49936326833915,-10.855610822253347,20.666666666666668,-111.60053287444164,-0.0363308155947379,99.32686992770047,-83.1189141868233,2.5147130403002897,3.2679921926190727,1.503052503051
2023-01-22,0.9429811346947456,3.59660178642172,-7.524421515436015,-53.4494619991034,-42.5518565508452,-10.897605448258197,20.694444444444446,-111.5478837127372,-0.0181490043488282,99.21138473528933,-83.42921787773669,2.51506765258636,3.2684825617123754,1.5030525030509996
2023-01-23,0.9409323143061854,3.66403904897596,-7.52442151543602,-53.6069418466216,-42.7093363983634,-10.897605448258204,20.555555555555554,-111.49934606500476,-0.0181490043488282,99.20733352675586,-83.43702847046015,2.5152077519309004,3.2681106995233606,1.503052503051
2023-01-24,0.9387083323009524,3.675278592735,-7.49078006174165,-53.5491992358649,-42.6778404288598,-10.871358807005095,20.61111111111111,-111.47117538715007,-0.0181490043488282,99.10811754149566,-83.60773283681232,2.5151849718356822,3.268286708807634,1.5030525030510002
2023-01-25,0.936308736531259,3.68651813649404,-7.4627455169963355,-53.5229525946119,-42.6778404288598,-10.845112165752099,20.666666666666668,-111.42950478460953,-0.0181490043488282,98.9955720501919,-83.76118094308706,2.515200133735583,3.268405508507248,1.5030525030510002
2023-01-26,0.9337330385300063,3.66403904897596,-7.4627455169963355,-53.7014297551325,-42.8720655741322,-10.829364181000301,20.61111111111111,-111.38228499963395,-0.0181490043488282,98.73849196969412,-84.03901488425005,2.5151147762667856,3.267998225897655,1.5030525030509996
2023-01-27,0.9309807133324106,3.73428619746996,-7.5412422422832055,-53.4914566251083,-42.6725911006092,-10.818865524499095,20.61111111111111,-111.33454242612694,-0.0181490043488282,98.57348246957488,-84.1855879523143,2.515058757786963,3.2682707936783975,1.5030525030509996
2023-01-28,0.9280511992717321,3.6991626232229597,-7.50760078858883,-53.5701965488674,-42.7670790091201,-10.803117539747298,20.555555555555554,-111.27145927664563,-0.0181490043488282,98.38422579973727,-84.33336694156277,2.515303227808395,3.2685934396104535,1.5030525030509996
2023-01-29,0.9249438977730824,3.43081851597587,-7.53002842438508,-53.5019552816095,-42.7355830396164,-10.766372241993096,20.5,-111.22374393170765,-0.0181490043488282,98.17729659097924,-84.47781999160215,2.514642275085443,3.268081346072506,1.5030525030509996
2023-01-30,0.9216581731497898,3.48139646289155,-7.457138608047275,-53.6646844573783,-42.9245588566383,-10.74012560074,20.0,-111.16432030194777,-0.0181490043488282,98.16587681777203,-84.48533875998208,2.5147563944755498,3.268272174034313,1.5030525030510002
2023-01-31,0.9181933523965944,3.81015311784348,-7.569276787028485,-53.5911938618698,-42.8720655741322,-10.719128287737597,20.0,-111.10788636910236,-0.0181490043488282,97.91622109189589,-84.64146907529646,2.5151877902812156,3.2683324664709876,1.503052503051
2023-02-01,0.9145487169059849,3.907094182765205,-7.50199387963977,-53.5177032663613,-42.8090736351249,-10.708629631236398,20.0,-111.02325452983354,-0.0181490043488282,97.65724415316521,-84.78753145075959,2.5156459681404075,3.2684333756164654,1.503052503051
2023-02-02,0.910723534483246,3.9014744108856902,-7.4627455169963355,-53.4127167013492,-42.7355830396164,-10.677133661732796,20.0,-110.9321586281995,-0.0181490043488282,97.41897138843669,-84.89759891492741,2.5158001128731455,3.2684533852250963,1.503052503051
2023-02-03,0.9067170113790992,3.41676908627706,-6.96373062052993,-52.95077581529585,-42.3261354360692,-10.624640379226648,20.0,-110.24127724652824,-0.0181490043488282,97.37867206807454,-84.92958124149942,2.5149451395097464,3.268086500309755,1.503052503051
2023-02-04,0.902528323709694,3.38024056906018,-6.801130261007129,-52.788046639527096,-42.2526448405607,-10.535401798966397,20.0,-110.07989351596137,-0.0181490043488282,96.77376741084953,-85.20520504241368,2.5145121834878457,3.267822869899961,1.503052503051
2023-02-05,0.8981566095108452,3.45891737537347,-6.756274989414635,-53.4914566251083,-43.1240333301613,-10.367423294946995,20.694444444444446,-112.01029016895073,29.9272941176471,96.44352095928454,-85.33792074569553,2.514808113534326,3.2680083910315734,1.503052503051
2023-02-06,0.8936009682106413,3.49263600665059,-6.918875348937435,-53.5072046098601,-43.0557920629034,-10.451412546956703,20.72222222222222,-112.47158025382083,29.9272941176471,96.0739554689655,-85.4780178882545,2.51498171263207,3.268358823018927,1.5030525030510002
2023-02-07,0.8888604617071546,3.51511509416867,-6.946909893682745,-53.5072046098601,-43.0820387041564,-10.4251659057037,20.833333333333332,-112.51625144470466,29.9272941176471,95.46339027778322,-85.68840178225567,2.514879341970088,3.268680944647724,1.503052503051
2023-02-08,0.8839341141777632,4.05180330866285,-7.50199387963977,-53.4967059533589,-43.0715400476552,-10.4251659057037,21.11111111111111,-113.12417826697902,29.9272941176471,95.44210426684455,-85.6951351998288,2.515681286535278,3.267549345966546,1.503052503051
2023-02-09,0.8788209120607373,4.30750292918102,-7.18240006954329,-53.47045931210585,-43.061041391154,-10.409417920951853,21.11111111111111,-113.20295051812299,29.9272941176471,94.45914117259733,-85.99154719368406,2.516595504479267,3.268031048744715,1.5030525030509996
2023-02-10,0.8735198043569095,4.33981661748826,-7.541242242283175,-53.3234781210889,-42.9928001238961,-10.330677997192794,21.11111111111111,-113.26273901071255,29.9272941176471,94.43593684575353,-85.99802741072384,2.516486539384786,3.268406650082771,1.503052503051
2023-02-11,0.868029703039231,4.51262460278351,-7.485173152792585,-53.5177032663613,-43.18177594091795,-10.33592732544335,21.083333333333332,-113.35122641540217,29.9272941176471,93.90901366126363,-86.14070805702971,2.516874063387108,3.269653121645793,1.5030525030509996
2023-02-12,0.8623494836053459,4.52948391842207,-7.52442151543602,-53.5072046098601,-43.2290198951734,-10.278184714686702,21.083333333333332,-113.30552053888323,29.9272941176471,93.3977932013754,-86.2711234978392,2.516913730798381,3.269596766803665,1.5030525030510002
2023-02-13,0.8564779857977326,3.48701623477107,-7.45713860804727,-53.4967059533589,-43.260515864677,-10.236190088681901,21.0,-113.2212586286649,29.9272941176471,92.85886659499131,-86.39965495501917,2.515507741555646,3.268299114514334,1.5030525030510002
2023-02-14,0.8504140143577257,3.7946987451748,-7.52442151543602,-85.43240682139844,-73.991675470866,-11.440731350532445,20.972222222222225,-113.58119891217436,29.9272941176471,92.30065812426292,-86.52691611799794,2.5135834032502404,3.267751531582425,1.5030525030510002
2023-02-15,0.8441563406791579,4.33981661748826,-7.54684915123227,-86.1804212817771,-74.34664736137759,-11.833773920399508,7.9722222222222205,-114.2841122470528,29.9272941176471,91.63893355074194,-86.66923198387451,2.5147429511421104,3.2690164554148597,1.503052503051
2023-02-16,0.8377037037615692,4.49576528714495,-7.51320769753789,-86.1755322983759,-74.3060791453191,-11.869453153056796,7.944444444444444,-114.34306354075501,29.9272941176471,91.06321991093724,-86.78539523873083,2.51517670399722,3.269209574879464,1.503052503051
2023-02-17,0.8310548121084654,4.55477289187991,-7.47956624384352,-86.1657543315736,-74.36693146940685,-11.798822862166745,7.916666666666666,-114.27955699411491,29.9272941176471,90.40115201465919,-86.91293535144979,2.515447749326397,3.2687512188111616,1.503052503051
2023-02-18,0.8242083458688715,4.61659038255463,-7.496386970690709,-86.1755322983759,-74.4531389285311,-11.722393369844795,7.861111111111111,-114.18360244359302,29.9272941176471,89.70583760089283,-87.04029092818682,2.515504561701122,3.269190770027484,1.5030525030510002
2023-02-19,0.8171629594119085,4.72055616232576,-7.4739593348944595,-86.1608653481724,-74.52920433364075,-11.631661014531645,7.777777777777777,-114.0600439320861,29.9272941176471,88.97347007856922,-87.16686973718592,2.515851459568182,3.2695943521932658,1.503052503051
2023-02-20,0.80991728441767,4.63625958413296,-7.49078006174165,-86.0581966967479,-74.5545594686773,-11.503637228070602,7.749999999999999,-113.92099429127012,29.9272941176471,88.22933946028132,-87.28952608368542,2.5157584408056266,3.269054294498342,1.5030525030510002
2023-02-21,0.8024699336331369,4.75427479360288,-7.54684915123227,-86.0679746635502,-74.7168323329112,-11.351142330639007,7.953110029005359,-113.78857095911583,29.9272941176471,86.5725453737918,-87.5417524387051,2.5157424463757683,3.2691291610932036,1.503052503051
2023-02-22,0.7948195050766583,4.87790977495233,-7.54684915123227,-86.0777526303526,-74.8334659540793,-11.244286676273305,7.583333333333332,-113.64622971633428,29.9272941176471,85.69706805171589,-87.66607390057646,2.516188172691571,3.2694798208869247,1.5030525030509998
2023-02-23,0.7869645874453054,4.95658658126561,-7.53002842438508,-86.0973085639573,-74.9500995752474,-11.147208988709892,7.527777777777777,-113.48789749642263,29.9272941176471,84.76165945085805,-87.79303465614285,2.5163255600633834,3.2693983502297024,1.5030525030509998
2023-02-24,0.7789037662435372,5.05104672418208,-7.563669878079425,-86.0973085639573,-75.09715935845935,-11.000149205497948,7.361111111111111,-113.31789864651181,29.9272941176471,83.77669650155094,-87.91922722704027,2.5164674753000806,3.269513495041209,1.5030525030509998
2023-02-25,0.770635631093166,5.21667865632287,-7.490780061741645,-86.10219754735846,-75.1782957905763,-10.923901756782158,7.305555555555555,-113.13469394046393,29.9272941176471,82.74196462707124,-88.04673729901786,2.516667917764302,3.269866654478769,1.5030525030509998
2023-02-26,0.7621587843675213,5.31154171474745,-7.563669878079425,-86.2488670493934,-75.518054600066,-10.730812449327402,7.194444444444444,-112.93908934393173,29.9636577401388,81.65343407655797,-88.17327748420684,2.516726584920934,3.269814861071799,1.503052503051
2023-02-27,0.7534718513751401,5.35744319463031,-7.56927678702846,-86.12664246436425,-74.91460238619621,-11.212040078168044,8.888888888888888,-114.09533420444862,29.9636577401388,81.59393624275685,-88.18002377638336,,,
2023-02-28,0.7445734920461589,4.69807707480768,-7.524421515436015,-85.740412775672,-71.74013947962075,-14.000273296051247,9.555555555555554,-117.14872963477241,55.8181933318074,80.3057849666767,-88.32298337242939,2.516081779010297,3.269114107472907,1.503052503051
2023-03-01,0.7354624140114306,4.72898582014504,-7.558062969130365,-85.7061898918638,-70.87806488837815,-14.828125003485653,9.694444444444445,-117.6556439104537,55.8000115205615,78.53116250995905,-88.50742494059918,2.516153202408249,3.2694082382900165,1.5030525030509996
2023-03-02,0.726137392097987,4.79642308269928,-7.4739593348944595,-85.7159678586662,-70.9237041314439,-14.792263727222306,9.63888888888889,-117.65265965925234,55.8181933318074,77.23865961793287,-88.63564740729778,2.5161337336378486,3.2693284709167134,1.5030525030509998
2023-03-03,0.7165972866436948,4.89476909059088,-7.61413205862095,-85.72085684206735,-71.0200536445828,-14.700803197484547,9.583333333333334,-117.54066855349554,55.8181933318074,77.15282892866409,-88.64380561431278,2.516489094885701,3.2699274004065866,1.503052503051
2023-03-04,0.7068410664378388,5.03120429687102,-7.4627455169963355,-85.73063480886964,-71.14682931976554,-14.583805489104094,9.5,-117.4257476536759,55.8181933318074,73.8138005393858,-88.94741451146311,2.5166388658354335,3.269992148707414,1.5030525030509998
2023-03-05,0.6968678359464408,5.01316572658825,-7.513207697537895,-85.7159678586662,-70.39124629567645,-15.324721562989751,9.722222222222223,-117.74779083486463,59.9091008621347,72.26070709167084,-89.07832777027036,2.516628561029798,3.2697680488904375,1.5030525030509998
2023-03-06,0.6866768672148414,5.085094413992,-7.518814606486956,-85.7159678586662,-70.2340444584499,-15.481923400216303,9.777777777777777,-117.70242259260554,59.9091008621347,72.17927522522709,-89.08500539789549,2.5167638535296795,3.2703053106977533,1.503052503051
2023-03-07,0.676267638447677,5.19831806436972,-7.50760078858883,-85.72085684206735,-70.4013883496911,-15.319468492376245,9.583333333333334,-117.5320316512961,59.9091008621347,68.77380100785138,-89.35179292934956,,,
2023-03-08,0.6656398779917759,5.37580378658345,-7.625345876519075,-85.7746356594802,-70.5991584029761,-15.175477256504095,9.5,-117.3072380284154,59.9091008621347,68.68006102056648,-89.35880529666281,2.517009084020456,3.2700104293821592,1.5030525030509996
2023-03-09,0.6547936179642696,5.55022941013833,-7.47956624384352,-85.7844136262825,-70.80707051027579,-14.977343116006708,9.305555555555554,-117.027976375397,59.9091008621347,65.41902697862673,-89.5926209688343,2.517168342120398,3.270414053269656,1.503052503051
2023-03-10,0.643729256776242,5.7032343430812,-7.513207697537895,-85.6328551408463,-70.8628518073562,-14.77000333349011,9.166666666666666,-116.73450140917538,59.9091008621347,63.415670026542266,-89.7264353049388,2.5173883457666655,3.27045991539297,1.5030525030509998
2023-03-11,0.6324476334993541,5.87459986797721,-7.53002842438508,-85.69152294166034,-71.21275267086055,-14.478770270799785,8.972222222222221,-116.42300113004075,59.9091008621347,63.29701339016266,-89.73413002623175,2.5178431586500847,3.2707076613733053,1.5030525030510002
2023-03-12,0.620950116157571,6.093396922085515,-7.53002842438508,-85.70130090846266,-71.5880086694014,-14.113292239061252,8.75,-116.03803817078642,59.9091008621347,58.72011763411224,-90.0181566516255,2.5181179086943897,3.271203363202054,1.5030525030509996
2023-03-13,0.6092387066694074,6.1989703258161,-7.44031788120009,-85.93597211171874,-71.9632646679423,-13.972707443776443,8.472222222222221,-115.62256287671295,59.9091008621347,56.80426506973723,-90.12923443814273,2.5184496215828207,3.2715991885483904,1.5030525030509996
2023-03-14,0.5973161608213416,5.98170332103722,-7.429104063301965,-86.1266424643642,-72.368946828527,-13.757695635837194,8.333333333333332,-115.21631806765073,59.9091008621347,53.90207626502678,-90.28699124501875,2.5177241617638764,3.2709063463178563,1.5030525030509996
2023-03-15,0.585186157044735,6.73448759111614,-7.53563533333414,-86.15108738137005,-72.7644869350971,-13.38660044627295,7.9722222222222205,-114.7681718685081,59.9091008621347,51.639021396421825,-90.40477669990217,2.518819305433886,3.27224605216843,1.5030525030509996
2023-03-16,0.5728534439100245,7.04967775297845,-7.5524560601813295,-86.06308568014904,-73.09917471757956,-12.963910962569486,7.749999999999999,-114.21784642940429,59.9091008621347,48.7780871125084,-90.54610980438663,2.5191184554528605,3.272791923131451,1.5030525030509998
